id,release_date,movie,production_budget,domestic_gross,profit,profitable,unprofitable,domestic_profit_margin
44,2014-10-10,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,66954149,38954149,True,False,58.18033621784963
66,2013-04-19,Home Run,1200000,2859955,1659955,True,False,58.04129785258859
37,2013-12-13,Saving Mr. Banks,35000000,83299761,48299761,True,False,57.983072724542396
31,2017-10-20,Tyler Perryâs Boo 2! A Madea Halloween,20000000,47319572,27319572,True,False,57.73419083334059
85,2018-06-29,Uncle Drew,18000000,42469946,24469946,True,False,57.61708762238595
97,2016-10-14,Kevin Hart: What Now?,10000000,23591043,13591043,True,False,57.61103059326372
39,2016-10-07,Middle School: The Worst Years of My Life,8500000,20007149,11507149,True,False,57.51518619669399
86,2014-10-17,Birdman or (The Unexpected Virtue of Ignorance),18000000,42340598,24340598,True,False,57.48761035448767
15,2016-01-29,Fifty Shades of Black,5000000,11686940,6686940,True,False,57.21720142312701
58,2017-12-22,Pitch Perfect 3,45000000,104897530,59897530,True,False,57.100991796470325
77,2013-07-26,The To Do List,1500000,3491669,1991669,True,False,57.04060150031404
96,2018-11-21,Creed II,50000000,115715889,65715889,True,False,56.790722145339956
97,2018-02-09,Peter Rabbit,50000000,115234093,65234093,True,False,56.61006330826069
94,2017-02-10,John Wick: Chapter Two,40000000,92029184,52029184,True,False,56.53552681723224
39,2018-11-23,The Favourite,15000000,34366783,19366783,True,False,56.35320303328945
78,2012-12-25,Les Miserables,65000000,148809770,83809770,True,False,56.32007226407245
46,2013-01-28,Last Vegas,28000000,63914167,35914167,True,False,56.191246300683225
52,2013-04-19,Filly Brown,1250000,2850357,1600357,True,False,56.14584418723689
77,2014-12-25,Into the Woods,56200000,128002372,71802372,True,False,56.09456362261787
57,2016-03-04,Zootopia,150000000,341268248,191268248,True,False,56.04630642344435
95,2016-01-15,Ride Along 2,40000000,90862685,50862685,True,False,55.97752806886568
7,2018-04-27,Avengers: Infinity War,300000000,678815482,378815482,True,False,55.805368622986116
97,2015-03-27,Get Hard,40000000,90411453,50411453,True,False,55.757817541102895
14,2014-01-17,Devil's Due,7000000,15821461,8821461,True,False,55.756298359550996
34,2015-11-06,Spotlight,20000000,45055776,25055776,True,False,55.610574768482515
77,2016-08-12,Hell or High Water,12000000,27007844,15007844,True,False,55.56846373964541
17,2012-08-03,Diary of a Wimpy Kid: Dog Days,22000000,49008662,27008662,True,False,55.10997627317391
69,2012-09-28,Looper,30000000,66486205,36486205,True,False,54.8778577450766
70,2013-02-01,Warm Bodies,30000000,66380662,36380662,True,False,54.80611507007869
74,2015-02-06,The SpongeBob Movie: Sponge Out of Water,74000000,162994032,88994032,True,False,54.59956472516736
41,2017-02-10,The Lego Batman Movie,80000000,175750384,95750384,True,False,54.48089604174066
88,2013-09-18,Enough Said,8000000,17550872,9550872,True,False,54.418219220104845
35,2018-03-30,Acrimony,20000000,43549096,23549096,True,False,54.07482166794002
17,2016-04-08,The Boss,29000000,63077560,34077560,True,False,54.02485448073768
98,2013-04-26,Mud,10000000,21590086,11590086,True,False,53.68244480360106
100,2016-10-14,The Accountant,40000000,86260045,46260045,True,False,53.628588995055594
