id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,profit_margin,domestic_profit_margin,cost_revenue_ratio_in_%
96,2002-12-06,Empire,3500000,17504595,18495444,14995444,0.8107642076610867,0.8000525005005829,500.13128571428575
97,2013-02-22,Dark Skies,3500000,17418667,27704111,24204111,0.8736649589658373,0.799066139791294,497.6762
78,2011-08-26,Our Idiot Brother,5000000,24814830,25861249,20861249,0.8066605367745388,0.7985075859878952,496.29659999999996
37,2013-06-14,20 Feet From Stardom,1000000,4946250,5892466,4892466,0.8302917657904177,0.7978266363406621,494.625
10,2012-07-20,Burn,225000,1109276,1109276,884276,0.7971649977102181,0.7971649977102182,493.0115555555555
72,2005-10-05,The Squid and the Whale,1500000,7372734,11191423,9691423,0.8659687869898226,0.7965476578973282,491.51559999999995
26,2016-07-08,The Secret Life of Pets,75000000,368384330,886750534,811750534,0.9154215338764036,0.7964082782782862,491.1791066666667
53,2017-11-03,Lady Bird,10000000,48958273,78610769,68610769,0.8727909658281043,0.7957444291386667,489.58272999999997
29,2010-12-22,True Grit,35000000,171243005,252276928,217276928,0.8612635714352761,0.7956120893814027,489.26572857142855
79,2018-03-09,The Strangers: Prey at Night,5000000,24431472,29960051,24960051,0.8331110985091449,0.7953459374040173,488.62944
69,2014-08-13,Letâs Be Cops,17000000,82390774,136890774,119890774,0.8758133984982801,0.7936662180161094,484.6516117647059
22,2013-07-03,Despicable Me 2,76000000,368065385,975216835,899216835,0.922068613591971,0.7935149484377619,484.2965592105263
41,2001-08-10,American Pie 2,30000000,145096820,286500000,256500000,0.8952879581151831,0.7932415059130862,483.6560666666666
65,2003-06-06,Whale Rider,4300000,20779666,39374600,35074600,0.8907925413845474,0.7930669337996097,483.24804651162793
80,2006-07-21,Clerks II,5000000,24148068,27342246,22342246,0.8171327988198189,0.7929440980537242,482.96136
69,2004-04-30,Mean Girls,18000000,86047227,130953026,112953026,0.8625461316182186,0.7908125499500408,478.04015
9,2013-01-18,Mama,15000000,71628180,148095566,133095566,0.8987140506286326,0.7905852138083084,477.52119999999996
54,2009-11-06,Precious (Based on the Novel Push by Sapphire),10000000,47566524,68722848,58722848,0.8544879862953292,0.7897681150718517,475.66524000000004
50,2016-03-16,Miracles from Heaven,13000000,61705123,73798736,60798736,0.8238452214140903,0.7893205722967281,474.6547923076923
2,2008-10-03,Beverly Hills Chihuahua,20000000,94514402,154218168,134218168,0.8703135936616755,0.7883920378610658,472.57201000000003
73,2002-03-13,Kissing Jessica Stein,1500000,7025722,9345061,7845061,0.8394874040950615,0.786498811083046,468.38146666666665
90,2005-06-24,Rize,700000,3278611,4857731,4157731,0.8558998017798846,0.7864949516731323,468.373
98,2018-01-19,Forever My Girl,3500000,16376066,16376066,12876066,0.7862734554196351,0.786273455419635,467.88759999999996
