id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,domestic_profit_margin,worldwide_profit_margin,Distributor,genre1,genre2,genre3,release_month,budget_tier
47,2016-01-15,The Lady in the Van,6000000,10021175,42320503,4021175,40.126781540088864,85.82247474705109,Sony Pictures Classics,Biography,Comedy,Drama,Dec,mid_tier
56,2018-06-08,Hereditary,10000000,44069456,70133905,34069456,77.30854676309143,85.74156108946165,A24,Drama,Horror,Mystery,Jun,mid_tier
97,2018-02-09,Peter Rabbit,50000000,115234093,347136477,65234093,56.61006330826069,85.59644309577988,Sony Pictures Entertainment (SPE),Adventure,Animation,Comedy,Feb,high_tier
91,2017-02-10,Fifty Shades Darker,55000000,114434010,381398492,59434010,51.9373654737783,85.57938713611904,Universal Pictures,Drama,Romance,,Feb,high_tier
52,2012-02-24,Act of Valor,12000000,70012847,82497035,58012847,82.8602884839121,85.45402268093635,Relativity Media,Action,Adventure,Drama,Feb,mid_tier
7,2018-04-27,Avengers Infinity War,300000000,678815482,2048134200,378815482,55.805368622986116,85.35252231030564,Walt Disney Studios Motion Pictures,Action,Adventure,Sci-Fi,Apr,high_tier
18,2015-01-09,Taken 3,48000000,89256424,327656424,41256424,46.2223581800678,85.35050849483726,Twentieth Century Fox,Action,Thriller,,Jan,mid_tier
75,2012-09-28,Pitch Perfect,17000000,65001093,116044347,48001093,73.84659362574104,85.3504281427858,Universal Pictures,Comedy,Music,Romance,Sep,mid_tier
68,2016-01-22,The Boy,10000000,35819556,68220952,25819556,72.08228935054359,85.34174662352997,STX Entertainment,Drama,Horror,Thriller,Jan,mid_tier
57,2016-03-04,Zootopia,150000000,341268248,1019429616,191268248,56.04630642344435,85.28588951647643,Walt Disney Studios Motion Pictures,Adventure,Animation,Comedy,Mar,high_tier
35,2017-05-12,Lowriders,916000,6179955,6188421,5263955,85.17788559949061,85.19816282699577,BH Tilt,Adventure,Crime,Drama,May,low_tier
97,2018-02-09,Fifty Shades Freed,55000000,100407760,371350619,45407760,45.223357238524194,85.18919932108689,Universal Pictures,Drama,Romance,Thriller,Feb,high_tier
27,2012-05-04,The Avengers,225000000,623279547,1517935897,398279547,63.90062836443436,85.1772396683758,Walt Disney Studios Motion Pictures,Action,Adventure,Sci-Fi,May,high_tier
42,2018-02-16,Black Panther,200000000,700059566,1348258224,500059566,71.43100248700837,85.16604635226018,Walt Disney Studios Motion Pictures,Action,Adventure,Sci-Fi,Feb,high_tier
59,2017-06-28,Baby Driver,34000000,107825862,228104185,73825862,68.46767614990178,85.094530378739,TriStar Pictures,Action,Crime,Drama,Jun,mid_tier
38,2013-11-22,The Hunger Games Catching Fire,130000000,424668047,864868047,294668047,69.38785460352754,84.96880530493226,Lionsgate,Action,Adventure,Sci-Fi,Nov,high_tier
100,2016-07-06,Sultan,11000000,5599781,72989781,-5400219,-96.43625348919895,84.92939717136568,Yash Raj Films,Action,Drama,Sport,Jul,mid_tier
78,2014-01-31,That Awkward Moment,8000000,26068955,53068955,18068955,69.31215693149188,84.92527316582736,Focus Features,Comedy,Romance,,Jan,mid_tier
85,2014-06-13,22 Jump Street,50000000,191719337,331333876,141719337,73.92021024984037,84.90948145610079,Sony Pictures Entertainment (SPE),Action,Comedy,Crime,Jun,high_tier
42,2012-02-10,The Vow,30000000,125014030,197618160,95014030,76.0026934576863,84.81920892290465,Screen Gems,Drama,Romance,,Feb,mid_tier
57,2018-03-16,Love Simon,10000000,40826341,65520633,30826341,75.50600971074043,84.73763218984773,Twentieth Century Fox,Comedy,Drama,Romance,Mar,mid_tier
80,2013-12-13,American Hustle,40000000,150117807,257878294,110117807,73.3542603643284,84.48880695635438,Sony Pictures Entertainment (SPE),Crime,Drama,,Dec,mid_tier
96,2019-03-08,Captain Marvel,175000000,426525952,1123061550,251525952,58.97084358421407,84.41759492166747,Walt Disney Studios Motion Pictures,Action,Adventure,Sci-Fi,Mar,high_tier
73,2012-09-21,House at the End of the Street,6900000,31611916,44103982,24711916,78.17278775509843,84.35515414458496,Relativity Media,Drama,Horror,Thriller,Sep,mid_tier
