title,year,Domestic Gross (in millions),Foreign Gross (in millions),Total Gross (in millions)
The Adjustment Bureau,2011,62.5,65.4,127.9
The Woman in Black,2012,54.3,73.4,127.7
Predators,2010,52.0,75.2,127.2
Chronicle (2012),2012,64.599999,62.1,126.699999
Walking with Dinosaurs,2013,36.1,90.5,126.6
This is the End,2013,101.5,24.6,126.1
Sex Tape,2014,38.5,87.5,126.0
Detective Chinatown (Tang ren jie tan an),2016,0.474,125.4,125.874
Wolf Totem,2015,0.211,125.6,125.811
Mechanic: Resurrection,2016,21.2,104.5,125.7
Captain Underpants: The First Epic Movie,2017,73.9,51.6,125.5
Ender's Game,2013,61.7,63.8,125.5
Happy Death Day,2017,55.7,69.8,125.5
Ride Along 2,2016,91.2,33.4,124.6
The Theory of Everything,2014,35.9,87.8,123.7
The LEGO Ninjago Movie,2017,59.3,63.8,123.1
The Pirates! Band of Misfits,2012,31.1,92.0,123.1
Magic Mike XXL,2015,66.0,56.5,122.5
Prisoners,2013,61.0,61.1,122.1
Secret Superstar,2017,0.0,122.0,122.0
Deepwater Horizon,2016,61.4,60.4,121.8
Dragon Blade,2015,0.0741,121.5,121.5741
The Nut Job,2014,64.3,56.6,120.9
Instant Family,2018,67.4,53.2,120.6
We Bought a Zoo,2011,75.6,44.5,120.1
The Commuter,2018,36.3,83.6,119.9
Parental Guidance,2012,77.3,42.5,119.8
Allied,2016,40.1,79.4,119.5
The Shallows,2016,55.1,64.0,119.1
The Purge: Election Year,2016,79.2,39.4,118.6
Why Him?,2016,60.3,57.8,118.1
The Wind Rises,2014,5.2,112.7,117.9
Saving Mr. Banks,2013,83.3,34.6,117.9
Pompeii,2014,23.2,94.6,117.8
Game Night,2018,69.2,48.5,117.7
Water for Elephants,2011,58.7,58.4,117.1
Warm Bodies,2013,66.4,50.6,117.0
Abraham Lincoln: Vampire Hunter,2012,37.5,79.0,116.5
Jurassic Park 3D,2013,45.4,71.1,116.5
Personal Tailor,2013,0.376,115.8,116.176
